lat,lon,time,omega_x,omega_y,omega,pr_wtr,rhum_x,rhum_y,rhum,slp,tmp_x,tmp_y,tmp,uwnd_x,uwnd_y,uwnd,vwnd_x,vwnd_y,vwnd,rain
30,70,1/1/2015,0.14299999,0.1095,0.126,5.6,1.75,0.75,40.75,101852.5,296.8,282.675,296.725,4.35,1.2750015,-2.5999994,-6.6000004,-3.9250002,-3.2,-9999
30,70,1/2/2015,0.02925,0.024499997,0.06525001,8.4,20.5,19,34.5,101785,296.8,284.15,296.7,12.125002,5.850001,-1.7499993,-5.075,-3.9750001,-2.1999996,-9999
30,70,1/3/2015,0.18125,0.16325,0.10375,11.35,29.5,46.5,41,101700,296.8,284.675,296.6,26.575,10.875,0.77500117,-13.925,-5.7250004,-0.87499917,-9999
30,70,1/4/2015,0.1235,0.07725,-0.09,12.4,36.5,38.75,40.5,101795,296.8,285.15002,296.55,35.949997,18.375,1.3250003,-20.4,-6.05,2.925002,-9999
30,70,1/5/2015,-0.04575,0.04225,0.017,11.25,20.75,22.25,38.75,101620,296.8,285.75,296.5,40.7,17.400002,3.1750007,-7.8999996,-6.55,1.5750003,-9999
30,70,1/6/2015,0.20075,0.09600001,0.10175,9.325,8.5,18.25,32.5,101415,296.8,285.875,296.45,33.15,11.000001,2.6250012,-17.6,-5.3,-2.899999,-9999
30,70,1/7/2015,0.34425,0.16199994,0.010999999,5.575,13,2.75,26.25,101532.5,296.8,285.90002,296.4,27,9.150002,1.9750015,-30.825,-11.3,-4.075,-9999
30,70,1/8/2015,0.103,0.033,-0.025250003,7.575,19.5,10.75,27.25,101720,296.8,283.95,296.34998,28.675003,13.100001,-0.124999255,-16.925,-5.725,-1.2999998,-9999
30,70,1/9/2015,0.0795,0.0425,-0.046749998,9.825,18.75,12,33.25,101777.5,296.8,283.025,296.3,32.625,11.85,-1.1749985,-8.125,-1.7249999,1.35,-9999
30,70,1/10/2015,0.0915,0.189,0.015000001,10.900001,19.5,17.75,40.5,101870,296.8,283.4,296.2,30.175,14.875,0.20000112,-3.3000002,-3.6,-1.5749989,-9999
